run_id,rain_mult,imperv_mult,surf_n,infil_min,pipe_n,peak_discharge_cfs,total_flood_vol,num_flooded_nodes,continuity_error_pct,status
111,0.95562743634409,0.9168495288036226,0.02713137249338874,0.38469930899825705,0.015389254980917675,17.09,0.0,0,0.029,ok
112,0.818265415464709,0.8641075990551331,0.026129943641379022,0.8920509927686125,0.015611332336094897,13.82,0.0,0,0.029,ok
113,0.8349276747914378,1.2450845163771527,0.020231791877694583,1.3104368356836955,0.025419497957460055,18.43,0.001,1,0.013,ok
114,1.3746584696267243,0.7001866253520553,0.025763662244673684,0.6770709799905678,0.029169623410358513,16.23,0.002,1,-0.009,ok
115,0.8511923336273544,1.1165085373073544,0.014625689290259593,0.3984342045333822,0.01896705754976752,18.26,0.0,0,0.026,ok
116,1.1216018928663496,0.7665623067507945,0.028324010770795948,0.09814419773056554,0.013283141168443036,17.07,0.0,0,0.031,ok
117,1.2461906684154163,1.0081869921010758,0.011823123485846835,0.34234435127197815,0.018789056720991654,24.08,0.0,1,0.023,ok
118,1.4009160632663935,1.2382621512060918,0.01592831366724801,0.6804644161444825,0.029847722050660865,15.85,0.046,1,-0.008,ok
119,1.2643551646294386,0.8263563598411613,0.011203916748623368,0.9896527627521267,0.029140426407032995,16.24,0.005,1,-0.01,ok
120,1.4144359906021957,0.7146862809241792,0.028179673540865365,0.13200998175451678,0.012559397973505124,20.19,0.0,0,0.026,ok
121,1.188348791726819,0.9041598382740856,0.02338366404529502,1.347076000841318,0.029527276629417957,16.03,0.006,1,-0.013,ok
122,0.9727150339161419,1.1912150771086212,0.014573147025565187,0.5227447235638483,0.025353047326671457,18.48,0.004,1,0.016,ok
123,1.1644259944040993,1.2631000197544777,0.015128833271270103,0.15984077765289376,0.028174444015509142,16.78,0.024,1,-0.008,ok
124,0.9531562509959532,1.1818123603098198,0.025136549473559193,0.9389515769770383,0.020310839154795195,21.59,0.0,0,0.022,ok
125,1.0225414783964895,0.709847581419328,0.02080077686765215,1.3736891610406006,0.013667521728094541,14.53,0.0,0,0.031,ok
126,1.079320477332448,1.1742129002912591,0.028630595112366358,0.6724191632102104,0.014456149458052073,24.19,0.0,0,0.029,ok
127,1.1734251483342168,0.7159896332455989,0.019674896188540153,1.0801562100200204,0.022633112651173883,16.69,0.0,0,0.01,ok
128,1.0940169096504375,1.1226389540894721,0.026084139379026712,1.2122198480637203,0.015422367884611739,23.76,0.0,0,0.021,ok
129,1.3306269995126003,1.0947945998500723,0.02925844408499958,0.6918358665418433,0.020954874923013112,21.87,0.007,1,0.011,ok
130,1.0049578311079146,0.9413252381423396,0.026212478713263477,1.2789107907462542,0.020771594317073986,18.41,0.0,0,0.017,ok
131,1.3490431497225448,1.0457759863946272,0.017562640141257482,1.3184880712724387,0.023220916277425584,19.97,0.011,1,0.014,ok
132,1.181160279918792,1.2845361309253938,0.021062871440086298,1.4475540463854162,0.013153006776335264,29.75,0.0,0,0.024,ok
133,1.4972517773637735,1.1406310820728285,0.022666047751937462,0.48414055003466766,0.02082649820585701,21.99,0.019,1,0.02,ok
134,1.2117810859551525,0.9513101536844524,0.02506009195858401,0.69756744507065,0.013561381912064291,22.66,0.0,0,0.03,ok
135,1.142572209451325,0.9581016414876573,0.016681117169347046,0.44691033595139207,0.01953611561839843,21.71,0.0,0,0.027,ok
136,1.4502925333298435,1.0981576251547733,0.012937328586322003,0.1385854882421495,0.02450388746993183,19.04,0.024,1,0.004,ok
137,0.9266507320601937,1.2934955418741936,0.020121550047631907,0.6742193069474328,0.021391447447796093,21.47,0.001,1,0.015,ok
138,1.2659447345998212,0.7217236038414724,0.011067066309558534,0.9509565060815015,0.027951455537051927,16.9,0.001,1,0.0,ok
